<oov>	oov
嶄	t s a: n
嶙	l ɵ n
嶺	l ɪ ŋ
嶺	l ɛ: ŋ
嶼	j y:
嶼	t s ɵy
巉	t sʰ a: m
巒	l y: n
川	t sʰ y: n
州	t s ɐu
巡	t sʰ ɵ n
巢	t sʰ a:u
工	k ʊ ŋ
左	t s ɔ:
巧	h a:u
巧	kʰ i:u
巨	k ɵy
巫	m ou
差	t sʰ i:
差	t sʰ a:i
差	t sʰ a:
己	k ei
已	j i:
巴	p a:
巷	h ɔ: ŋ
巾	k ɐ n
巿	f ɐ t
巿	s i:
市	s i:
布	p ou
帆	f a: n
希	h ei
帖	tʰ i: p
帚	t s ɐu
帚	t s a:u
帝	t ɐi
帥	s ɵy
帥	s ɵ t
師	s i:
席	t s ɪ k
帳	t s œ: ŋ
帶	t a:i
帷	w ɐi
常	s œ: ŋ
帽	m ou
幃	w ɐi
幄	ɐ k
幅	f ʊ k
幕	m ɔ: k
幟	t sʰ i:
幡	f a: n
幢	t sʰ ɔ: ŋ
幢	tʰ ɔ: ŋ
幢	t s ɔ: ŋ
幣	p ɐi
幫	p ɔ: ŋ
干	k ɔ: n
平	pʰ ɛ: ŋ
平	pʰ ɪ ŋ
年	n i: n
幸	h ɐ ŋ
幹	k ɔ: n
幻	w a: n
幼	j ɐu
幽	j ɐu
幾	k ei
庇	p ei
床	t sʰ ɔ: ŋ
序	t s ɵy
底	t ɐi
店	t i: m
庚	k ɐ ŋ
府	f u:
度	t ou
度	t ɔ: k
座	t s ɔ:
庫	f u:
庭	tʰ ɪ ŋ
庵	ɐ m
庶	s y:
康	h ɔ: ŋ
庸	j ʊ ŋ
庹	tʰ ɔ: k
廁	t sʰ ɐ k
廁	t sʰ i:
廂	s œ: ŋ
廈	h a:
廉	l i: m
廊	l ɔ: ŋ
廖	l i:u
廚	t sʰ ɵy
廚	t sʰ y:
廟	m i:u
廠	t sʰ ɔ: ŋ
廢	f ɐi
廣	k w ɔ: ŋ
廬	l ou
廳	tʰ ɛ: ŋ
延	j i: n
廷	tʰ ɪ ŋ
建	k i: n
廿	j a:
廿	j ɛ:
廿	n i: m
弄	l ʊ ŋ
弄	n ʊ ŋ
弊	p ɐi
弍	j i:
式	s ɪ k
弓	k ʊ ŋ
引	j ɐ n
弛	t sʰ i:
弟	t ɐi
弟	t i:
弟	tʰ ɐi
弱	j œ: k
張	t s œ: ŋ
強	k œ: ŋ
強	kʰ œ: ŋ
弸	pʰ ɐ ŋ
弸	p ɐ ŋ
强	kʰ œ: ŋ
弼	p ɐ t
彈	tʰ a: n
彈	t a: n
彌	n ei
彌	m ei
彎	w a: n
彗	s ɵy
彗	w ɐi
彙	w ɐi
彙	w u:i
形	j ɪ ŋ
彤	tʰ ʊ ŋ
彥	j i: n
彩	t sʰ ɔ:i
彪	p i:u
彬	p ɐ n
彭	pʰ a: ŋ
彭	pʰ ɐ ŋ
影	j ɪ ŋ
影	j ɛ: ŋ
彷	f ɔ: ŋ
彷	pʰ ɔ: ŋ
役	j ɪ k
彼	p ei
彿	f ɐ t
往	w ɔ: ŋ
征	t s ɪ ŋ
待	t ɔ:i
徇	s ɵ n
很	h ɐ n
徊	w u:i
律	l ɵ t
後	h ɐu
徐	t sʰ ɵy
徑	k ɪ ŋ
徒	tʰ ou
得	t ɐ k
徘	pʰ u:i
從	t sʰ ʊ ŋ
御	ŋ a:
御	j y:
復	f ɐu
復	f ʊ k
循	t sʰ ɵ n
微	m ei
徵	t s i:
徵	t s ɪ ŋ
德	t ɐ k
徹	t sʰ i: t
徽	f ɐi
心	s ɐ m
必	p i: t
忌	k ei
忍	j ɐ n
志	t s i:
忘	m ɔ: ŋ
忙	m ɔ: ŋ
忟	m ɐ ŋ
忠	t s ʊ ŋ
快	f a:i
念	n i: m
忽	f ɐ t
忿	f ɐ n
怎	t s ɐ m
怒	n ou
怕	pʰ a:
怖	p ou
思	s i:
思	s ɔ:i
怡	j i:
急	k ɐ p
怦	pʰ ɪ ŋ
性	s ɪ ŋ
怨	j y: n
怪	k w a:i
怯	h i: p
恃	t sʰ i:
恆	h ɐ ŋ
恐	h ʊ ŋ
恒	h ɐ ŋ
恕	s y:
恙	j œ: ŋ
恢	f u:i
恣	t s i:
恣	t sʰ i:
恤	s ɵ t
恥	t sʰ i:
恨	h ɐ n
恩	j ɐ n
恭	k ʊ ŋ
息	s ɐ k
恰	h ɐ p
悄	t sʰ i:u
悅	j y: t
悉	s ɪ k
悒	j ɐ p
悔	f u:i
悖	p u:i
悗	m u: n
悟	ŋ
悠	j ɐu
患	w a: n
您	n ei
悲	p ei
悶	m u: n
悸	k w ɐi
悽	t sʰ ɐi
情	t sʰ ɪ ŋ
惇	t ɵ n
惑	w a: k
惘	m ɔ: ŋ
惜	s ɪ k
惜	s ɛ: k
惟	w ɐi
惠	w ɐi
惡	w u:
惡	ŋ ɔ: k
惡	ɔ: k
惦	t i: m
惰	t ɔ:
惱	n ou
想	s œ: ŋ
惶	w ɔ: ŋ
惹	j ɛ:
愁	s ɐu
愈	j y:
愉	j y:
意	j i:
愚	j y:
愛	ɔ:i
愛	ŋ ɔ:i
感	k ɐ m
愧	kʰ w ɐi
愴	t sʰ ɔ: ŋ
愿	ɐ n
慈	t sʰ i:
態	tʰ a:i
慌	f ɔ: ŋ
慎	s ɐ n
慕	m ou
慘	t sʰ a: m
慚	t sʰ a: m
慢	m a: n
慣	k w a: n
慤	kʰ ɔ: k
慧	w ɐi
慨	kʰ ɔ:i
慮	l ɵy
慰	w ɐi
慳	h a: n
慳	h ɐ n
慶	h ɪ ŋ
慷	kʰ ɔ: ŋ
慷	h ʊ ŋ
慾	j ʊ k
憂	j ɐu
憎	t s ɐ ŋ
憐	l i: n
憑	pʰ ɛ: ŋ
憑	p ɐ ŋ
憑	pʰ ɐ ŋ
憚	t a: n
憤	f ɐ n
憧	tʰ ʊ ŋ
憧	t sʰ ʊ ŋ
憩	h ei
憫	m ɐ n
憬	k ɪ ŋ
憬	k w ɪ ŋ
憲	h i: n
憶	j ɪ k
憾	h ɐ m
懂	t ʊ ŋ
懇	h ɐ n
應	j ɪ ŋ
懊	ou
懞	m ʊ ŋ
懣	m u: n
懵	m ʊ ŋ
懶	l a: n
懷	w a:i
懸	j y: n
懺	t sʰ a: m
懼	k ɵy
懿	j i:
戀	l y: n
戇	ɔ: ŋ
戇	t s ɔ: ŋ
戇	ŋ ɔ: ŋ
戊	m ou
戎	j ʊ ŋ
成	t sʰ ɪ ŋ
成	s ɪ ŋ
成	s ɛ: ŋ
我	ŋ ɔ:
戒	k a:i
戕	t sʰ œ: ŋ
或	w a: k
戚	t sʰ ɪ k
戟	k ɪ k
戟	kʰ ɪ k
戥	t ɐ ŋ
截	t s i: t
戯	j i:
戰	t s i: n
戲	h ei
戲	f u:
戴	t a:i
戶	w u:
戽	f u:
戾	l ɐi
戾	l ɵy
房	f ɔ: ŋ
所	s ɔ:
扁	pʰ i: n
扁	p i: n
扂	t i: m
扇	s i: n
扉	f ei
手	s ɐu
才	t sʰ ɔ:i
扎	t s a: t
扑	p ɔ: k
扒	pʰ a:
打	t a:
托	tʰ ɔ: k
扣	kʰ ɐu
扭	n ɐu
扭	l ɐu
扮	p a: n
扯	t sʰ ɛ:
扶	f u:
批	pʰ ɐi
扻	h ɐ m
扻	t s i: t
扼	a: k
扼	ɐ k
扼	a:
找	t s a:u
承	s ɪ ŋ
技	k ei
抄	t sʰ a:u
抆	m ɐ n
把	p a:
抑	j ɪ k
抓	t s a:
抓	t s a:u
抓	a:u
投	tʰ ɐu
抖	t ɐu
抖	tʰ ɐu
抗	kʰ ɔ: ŋ
折	t s i: t
折	t s i: p
抦	p ɪ ŋ
抬	tʰ ɔ:i
抱	pʰ ou
抱	p ou
抵	t ɐi
抹	m a: t
抹	m u: t
押	a: p
押	ŋ a: p
押	a: t
抽	t sʰ ɐu
抿	m ɐ n
拂	f ɐ t
拃	t s a:
拆	t sʰ a: k
拉	l a: p
拉	l a:i
拉	l a:
拋	pʰ a:u
拌	pʰ u: n
拌	p u: n
拍	pʰ a: k
拎	l ɪ ŋ
拎	n ɪ ŋ
拐	k w a:i
拒	kʰ ɵy
拓	tʰ ɔ: k
拓	tʰ a: p
拔	p ɐ t
拖	tʰ ɔ:
拗	a:u
拗	ŋ a:u
拘	kʰ ɵy
拙	t s y: t
招	t s i:u
拜	p a:i
括	kʰ u: t
拮	k i: t
拮	k ɐ t
拯	t sʰ ɪ ŋ
拱	k ʊ ŋ
拳	kʰ y: n
拼	pʰ ɛ: ŋ
拼	pʰ ɪ ŋ
拾	s ɐ p
拿	n a:
持	t sʰ i:
指	t s i:
挈	kʰ i: t
按	ŋ ɔ: n
按	ɔ: n
挑	tʰ ou
挑	tʰ i:u
挖	w a: t
挖	w a:
挨	a:i
挪	n ɔ:
挫	t sʰ ɔ:
振	t s ɐ n
挺	tʰ ɪ ŋ
挽	w a: n
挾	k i: p
挾	h i: p
挾	h a: p
捉	t s ʊ k
捋	l y: t
捌	p a: t
捍	h ɔ: n
捏	n i: p
捐	k y: n
捕	p ou
捧	f ʊ ŋ
捧	p ʊ ŋ
捧	pʰ ʊ ŋ
捨	s ɛ:
捩	l i: t
据	k ɵy
捱	a:i
捱	ŋ a:i
捲	k y: n
捶	t sʰ ɵy
捷	t s i: t
捹	f ɪ ŋ
捹	f ɐ ŋ
捹	p ɐ n
捺	n a: t
捽	t s ɵ t
捽	t sʰ y: t
掂	t i: m
掃	s ou
掅	t sʰ ɪ ŋ
授	s ɐu
掉	t ɛ:u
掉	t s a:u
掉	t i:u
掌	t s œ: ŋ
排	pʰ a:i
掕	l ɐ ŋ
掗	ŋ a:
掗	a:
掘	k w ɐ t
掙	t s a: ŋ
掙	t s ɐ ŋ
掛	kʰ w a:
掛	k w a:
掟	t ɛ: ŋ
掠	l œ: k
採	t sʰ ɔ:i
探	tʰ a: m
掣	t sʰ i: t
掣	t s ɐi
接	t s i: p
控	h ʊ ŋ
推	tʰ ɵy
推	t sʰ ɵy
掩	j i: m
掩	ɐ m
措	t sʰ ou
措	t s a: k
揀	k a: n
揇	l a: m
揇	n a: m
揈	f ɪ ŋ
揈	f ɐ ŋ
揈	k w ɐ ŋ
揉	j ɐu
描	m i:u
提	tʰ ɐi
提	t ɐi
插	t sʰ a: p
揗	tʰ ɐ n
揚	j œ: ŋ
換	w u: n
揞	ɐ m
揞	ŋ ɐ m
握	a: k
握	ɐ k
揣	t sʰ ɵy
揣	t sʰ y: n
揦	l a:
揩	h a:i
揪	t sʰ ɐu
揪	t s ɐu
揭	kʰ i: t
揮	f ɐi
揳	s i: p
揳	s ɛ:
揳	s i: t
援	j y: n
援	w u: n
揸	t s a:
揼	t ɐ m
揼	t ɐ p
揾	w ɐ n
損	s y: n
搏	p ɔ: k
搓	t sʰ ɔ:
搓	t sʰ a:i
搔	s ou
搖	j i:u
搗	t ou
搜	s ɐu
搞	k a:u
搣	m i: t
搬	p u: n
搭	t a: p
搵	w ɐ n
搶	t sʰ œ: ŋ
搽	t sʰ a:
摑	k w a: k
摑	k w ɔ: k
摘	t s a: k
摙	l i: n
摞	l ɔ:
摧	t sʰ ɵy
摩	m ɔ:
摯	t s i:
摳	kʰ ɐu
摷	t sʰ a:u
摷	t s i:u
摸	m ɔ: k
摸	m ɔ:
摺	t s a: p
摺	t s i: p
摻	s a: m
摻	t sʰ a: m
撇	pʰ i: t
撈	l a:u
撈	l ou
撐	t sʰ a: ŋ
撒	s a: t
撓	n a:u
撕	s i:
撚	n ɐ n
撚	l i: n
撚	n i: n
撞	t sʰ ɔ: ŋ
撞	t s ɔ: ŋ
撤	t sʰ i: t
撥	pʰ u: t
撥	p u: t
撩	l i:u
撫	f u:
撬	h i:u
撬	k i:u
播	p ɔ:
撮	t sʰ y: t
撲	p ɔ: k
撲	pʰ ɔ: k
撳	k ɐ m
撻	tʰ a: t
撻	t a: t
撼	h ɐ m
撿	k i: m
擁	ʊ ŋ
擁	j ʊ ŋ
擂	l ɵy
擅	s i: n
擇	t s a: k
擊	k ɪ k
擋	t ɔ: ŋ
操	t sʰ ou
擎	kʰ ɪ ŋ
擏	kʰ ɪ ŋ
擏	k ɛ: ŋ
擒	kʰ ɐ m
擔	t a: m
擘	m a: k
據	k ɵy
擤	s ɐ ŋ
擦	t sʰ a: t
擬	j i:
擰	n ɪ ŋ
擰	l ɪ ŋ
擲	t s a: k
擳	t s i: t
擴	k w ɔ: k
擴	kʰ ɔ: ŋ
擴	kʰ w ɔ: k
擴	kʰ w ɔ: ŋ
擷	k i: t
擷	kʰ i: t
擸	l i: p
擸	l a: p
擺	p a:i
擾	j i:u
攀	pʰ a: n
攋	l a:
攋	l a:i
攏	l ʊ ŋ
攔	l a: n
攘	j œ: ŋ
攝	s i: p
攝	n i: p
攞	l ɔ:
攣	l y: n
攤	tʰ a: n
攪	k a:u
攬	l a: m
支	t s i:
攰	k u:i
收	s ɐu
攸	j ɐu
改	k ɔ:i
攻	k ʊ ŋ
放	f ɔ: ŋ
政	t s ɪ ŋ
故	k u:
效	h a:u
敏	m ɐ n
救	k ɐu
敗	p a:i
敘	t s ɵy
教	k a:u
敝	p ɐi
敢	k ɐ m
散	s a: n
敦	t ɵy
敦	t ɵ n
敬	k ɪ ŋ
敲	h a:u
整	t s ɪ ŋ
敵	t ɪ k
敷	f u:
數	s ou
數	s ɔ: k
斂	l i: m
斃	p ɐi
文	m ɐ n
斐	f ei
斑	p a: n
斕	l a: n
斗	t ɐu
料	l i:u
斜	t sʰ ɛ:
斜	j ɛ:
斟	t s ɐ m
斤	k ɐ n
斧	f u:
斬	t s a: m
斯	s i:
新	s ɐ n
斷	tʰ y: n
斷	t y: n
方	f ɔ: ŋ
於	w u:
於	j y:
施	j i:
施	s i:
旁	pʰ ɔ: ŋ
旅	l ɵy
旋	s y: n
旌	t s ɪ ŋ
旌	s ɪ ŋ
族	t s ʊ k
旗	kʰ ei
既	k ei
旣	k ei
日	j ɐ t
旦	t a: n
旨	t s i:
早	t s ou
旬	t sʰ ɵ n
旭	j ʊ k
旮	k ɔ:
旯	l ɔ:
旱	h ɔ: n
旳	t ɪ k
旺	w ɔ: ŋ
昂	ŋ ɔ: ŋ
昃	t s ɐ k
昆	k w ɐ n
昇	s ɪ ŋ
昌	t sʰ œ: ŋ
明	m ɪ ŋ
昏	f ɐ n
昐	f ɐ n
易	j i:
易	j ɪ k
昔	s ɪ k
星	s ɪ ŋ
星	s ɛ: ŋ
映	j ɪ ŋ
春	t sʰ ɵ n
昧	m ei
昧	m u:i
昨	t s ɔ: k
昭	t s i:u
昭	t sʰ i:u
是	s i:
昺	p ɪ ŋ
時	s i:
晃	f ɔ: ŋ
晉	t s ɵ n
晌	h œ: ŋ
晏	ŋ a: n
晏	a: n
晒	s a:i
晚	m a: n
晝	t s ɐu
晤	ŋ
晨	s ɐ n
普	pʰ ou
景	k ɪ ŋ
景	j ɪ ŋ
晴	t sʰ ɛ: ŋ
晴	t sʰ ɪ ŋ
晶	t s ɪ ŋ
智	t s i:
晾	l ɔ: ŋ
暇	h a:
暈	w ɐ n
暉	f ɐi
暑	s y:
暖	l y: n
暖	n y: n
暗	ŋ ɐ m
暗	ɐ m
暢	t sʰ œ: ŋ
暨	kʰ ei
暫	t s a: m
暮	m ou
暴	p ʊ k
暴	p ou
暸	l i:u
曆	l ɪ k
曉	h i:u
曖	ɔ:i
曙	t sʰ y:
曙	s y:
曜	j i:u
曦	h ei
曬	s a:i
曱	k a: t
曱	k ɐ t
曱	k a: p
曱	k a: k
曱	t s a: t
曲	kʰ ʊ k
曳	j ɐi
更	k ɐ ŋ
更	k a: ŋ
更	ɐ ŋ
書	s y:
曹	t sʰ ou
曼	m a: n
曾	t s ɐ ŋ
曾	t sʰ ɐ ŋ
替	tʰ ɐi
最	t s ɵy
會	kʰ u:i
會	w u:i
月	j y: t
有	j ɐu
朋	pʰ ɐ ŋ
服	f ʊ k
朕	t s ɐ m
朗	l ɔ: ŋ
望	m ɔ: ŋ
朝	t s i:u
朝	t sʰ i:u
期	k ei
期	kʰ ei
朦	m ʊ ŋ
朧	l ʊ ŋ
木	m ʊ k
未	m ei
末	m u: t
本	p u: n
札	t s a: t
朱	t s y:
朴	pʰ i:u
朴	pʰ ɔ: k
朵	t ɛ:u
朵	t ɔ:
朽	j ɐu
朽	n ɐu
杆	k ɔ: n
杉	t sʰ a: m
李	l ei
杏	h ɐ ŋ
材	t sʰ ɔ:i
村	t sʰ y: n
杖	t s œ: ŋ
杜	t ou
杞	k ei
束	t sʰ ʊ k
来	l ɔ:i
杭	h ɔ: ŋ
杮	t sʰ i:
杯	p u:i
杰	k i: t
東	t ʊ ŋ
杷	pʰ a:
松	t sʰ ʊ ŋ
板	p a: n
枇	pʰ ei
枉	w ɔ: ŋ
析	s ɪ k
析	t sʰ ɪ k
枕	t s ɐ m
林	l ɐ m
枚	m u:i
果	k w ɔ:
果	k u:
枝	t s i:
枝	kʰ ei
枯	f u:
枱	tʰ ɔ:i
架	k a:
柄	p ɛ: ŋ
柄	p ɪ ŋ
柏	p a: k
柏	pʰ a: k
某	m ɐu
柑	k ɐ m
柒	t sʰ ɐ t
染	j i: m
柔	j ɐu
柚	j ɐu
柚	t s ʊ k
柞	t s a:
柞	t s a: k
柞	t s ɔ: k
查	t s a:
查	t sʰ a:
柬	k a: n
柯	ɔ:
柱	t sʰ y:
柳	l ɐu
柴	t sʰ a:i
柵	s a: n
柵	t sʰ a: k
柺	k w a:i
柿	t sʰ i:
栗	l ɵ t
校	k a:u
校	h a:u
栢	p a: k
核	h ɐ t
核	w ɐ t
根	k ɐ n
格	k a: k
栽	t s ɔ:i
桂	k w ɐi
桃	tʰ ou
桅	w ɐi
桅	ŋ ɐi
案	ŋ ɔ: n
案	ɔ: n
桌	t s œ: k
桌	t sʰ œ: k
桐	tʰ ʊ ŋ
桑	s ɔ: ŋ
桔	a: t
桔	k ɐ t
桶	tʰ ʊ ŋ
桿	k ɔ: n
梁	l œ: ŋ
梅	m u:i
梓	t s i:
梗	k w a: ŋ
梗	k ɐ ŋ
梘	k a: n
條	tʰ i:u
梧	ŋ
梨	l ei
梭	s ɔ:
梯	tʰ ɐi
械	h a:i
梳	s ɔ:
梵	f a: n
棄	h ei
棉	m i: n
棋	kʰ ei
棍	k w ɐ n
棒	pʰ a: ŋ
棕	t s ʊ ŋ
棖	t sʰ a: ŋ
棖	t sʰ a: n
棖	t sʰ a: m
棗	t s ou
棘	k ɪ k
棚	pʰ a: ŋ
棟	t ʊ ŋ
棠	tʰ ɔ: ŋ
棧	t s a: n
森	s ɐ m
棲	t sʰ ɐi
棺	k u: n
椅	j i:
植	t s ɪ k
椏	ŋ a:
椏	a:
椒	t s i:u
椰	j ɛ:
楂	t s a:
楂	t sʰ a:
楊	j œ: ŋ
楋	t sʰ ɐu
楓	f ʊ ŋ
楚	t sʰ ɔ:
楣	m ei
業	j i: p
極	k ɪ k
概	kʰ ɔ:i
榆	j y:
榔	l ɔ: ŋ
榕	j ʊ ŋ
榚	t sʰ ɵy
榛	t s ɵ n
榜	pʰ ɔ: ŋ
榜	p ɔ: ŋ
榨	t s a:
榮	w ɪ ŋ
榴	l ɐu
構	k ɐu
構	kʰ ɐu
槍	t sʰ œ: ŋ
槐	w a:i
槤	l i: n
槽	t sʰ ou
樂	l ɔ: k
樂	ŋ ɔ: k
樂	ŋ a:u
樊	f a: n
樑	l œ: ŋ
樓	l ɐu
標	p i:u
樞	s y:
樟	t s œ: ŋ
模	m ou
樣	j œ: ŋ
樸	p ʊ k
樸	pʰ ɔ: k
樹	s y:
樺	w a:
樽	t s ɵ n
橋	kʰ i:u
橘	k w ɐ t
橙	t sʰ a: ŋ
機	k ei
橡	t s œ: ŋ
橢	tʰ ɔ:
橫	w a: ŋ
檀	tʰ a: n
檔	t ɔ: ŋ
檢	k i: m
檬	m ʊ ŋ
檯	tʰ ɔ:i
檳	p ɐ n
檸	l ɪ ŋ
檸	n ɪ ŋ
檻	l a: m
檻	h a: m
櫃	k w ɐi
櫈	t ɐ ŋ
櫚	l ɵy
櫸	k ɵy
櫻	j ɪ ŋ
欄	l a: n
權	kʰ y: n
欖	l a: m
欠	h i: m
次	t sʰ i:
欣	j ɐ n
欲	j ʊ k
欺	h ei
欽	j ɐ m
款	f u: n
歇	h i: t
歉	h i: m
歉	h i: p
歌	k ɔ:
歎	tʰ a: n
歐	ɐu
歐	ŋ ɐu
歛	l i: m
歡	f u: n
止	t s i:
正	t s ɪ ŋ
正	t s ɛ: ŋ
此	t sʰ i:
步	p ou
武	m ou
歧	kʰ ei
歪	w a:i
歪	m ɛ:
歲	s ɵy
歷	l ɪ k
歸	k w ɐi
歹	a: t
歹	t a:i
死	s i:
死	s ei
殄	t sʰ ɐ n
殄	tʰ i: n
殆	t ɔ:i
殆	tʰ ɔ:i
殊	s y:
殖	t s ɪ k
殘	t sʰ a: n
殮	l i: m
殯	p ɐ n
段	t y: n
殷	j ɐ n
殷	j i: n
殺	s a:i
殺	s a: t
殼	h ɔ: k
殿	t i: n
毀	w ɐi
毅	ŋ ɐi
毋	m ou
母	m ou
每	m u:i
毒	t ʊ k
毓	j ʊ k
比	p ei
比	pʰ ei
毛	m ou
毡	t s i: n
毫	h ou
氈	t s i: n
氏	t s i:
氏	s i:
民	m ɐ n
氓	m ɔ: ŋ
氓	m a: ŋ
氓	m ɐ n
氛	f ɐ n
氣	h ei
氧	j œ: ŋ
氯	l ʊ k
水	s ɵy
永	w ɪ ŋ
氹	tʰ ɐ m
汀	tʰ ɪ ŋ
汀	t ɪ ŋ
汁	t s ɐ p
求	kʰ ɐu
汕	s a: n
汗	h ɔ: n
汗	h ɔ: ŋ
汝	j y:
江	k ɔ: ŋ
池	t sʰ i:
污	w u:
汪	w ɔ: ŋ
汰	tʰ a:i
汶	m ɐ n
決	kʰ y: t
汽	h ei
沃	j ʊ k
沈	s ɐ m
沈	t sʰ ɐ m
沉	t s ɐ m
沉	t sʰ ɐ m
沐	m ʊ k
沒	m u: t
沖	t sʰ ʊ ŋ
沙	s a:
沛	pʰ u:i
沫	m u: t
沮	t s ɵy
沱	tʰ ɔ:
河	h ɔ:
油	j ɐu
治	t s i:
治	t sʰ i:
沽	k u:
沾	t s i: m
沿	j y: n
況	f ɔ: ŋ
泄	s i: t
泄	j ɐi
泉	t sʰ y: n
泊	pʰ a: k
泊	p ɔ: k
泌	p ɐ t
泌	p ei
泓	w ɐ ŋ
法	f a: t
泛	f a: n
泡	pʰ ou
泡	pʰ a:u
泡	pʰ ɔ: k
波	p ɔ:
泣	j ɐ p
泥	n ɐi
泥	l ɐi
泥	n ei
注	t s y:
泮	pʰ u: n
泰	tʰ a:i
泱	j œ: ŋ
泳	w ɪ ŋ
洋	j œ: ŋ
洗	s ɐi
洛	l ɔ: k
洞	t ʊ ŋ
津	t s ɵ n
洪	h ʊ ŋ
洱	j i:
洲	t s ɐu
洶	h ʊ ŋ
活	w u: t
洽	ɐ p
洽	h a: p
洽	h ɐ p
派	pʰ a:i
流	l ɐu
浙	t s i: t
浚	t s ɵ n
浣	w u: n
浦	pʰ ou
浩	h ou
浪	l ɔ: ŋ
浮	pʰ ou
浮	f ɐu
浴	j ʊ k
海	h ɔ:i
浸	t s ɐ m
涂	tʰ ou
消	s i:u
涉	s i: p
涌	j ʊ ŋ
涌	t sʰ ʊ ŋ
涕	tʰ ɐi
涯	ŋ a:i
液	j ɐ t
液	j ɪ k
涵	h a: m
涷	t ʊ ŋ
涼	l œ: ŋ
淆	ŋ a:u
淋	l ɐ m
淒	t sʰ ɐi
淘	tʰ ou
淚	l ɵy
淡	tʰ a: m
淡	t a: m
淥	l ʊ k
淨	t s ɛ: ŋ
淨	t s ɪ ŋ
淩	l ɪ ŋ
淪	l ɵ n
淫	j ɐ m
淮	w a:i
深	s ɐ m
混	w ɐ n
淸	t sʰ ɪ ŋ
淺	t sʰ i: n
添	tʰ i: m
清	t sʰ ɪ ŋ
清	t sʰ ɛ: ŋ
減	k a: m
渝	j y:
渠	kʰ ɵy
渡	t ou
渣	t s a:
渦	w ɔ:
渦	k w ɔ:
温	w ɐ n
測	t sʰ ɐ k
測	t sʰ a: k
渭	w ɐi
港	k ɔ: ŋ
渴	h ɔ: t
游	j ɐu
渺	m i:u
渾	w ɐ n
湃	p a:i
湃	pʰ a:i
湖	w u:
湘	s œ: ŋ
湛	t a: m
湛	t s a: m
湧	j ʊ ŋ
湯	s œ: ŋ
湯	tʰ ɔ: ŋ
溋	j i: n
源	j y: n
準	t s ɵ n
溜	l ɐu
溜	l i:u
溝	k ɐu
溝	kʰ ɐu
溢	j ɐ t
溥	pʰ ou
溪	kʰ ɐi
溫	w ɐ n
溯	s ou
溶	j ʊ ŋ
滂	pʰ ɔ: ŋ
滄	t sʰ ɔ: ŋ
滅	m i: t
滋	t s i:
滌	t ɪ k
滑	k w ɐ t
滑	w a: t
滔	tʰ ou
滘	k a:u
滙	w u:i
滯	t s ɐi
滴	t ɪ k
滷	l ou
滾	kʰ w ɐ n
滾	k w ɐ n
滿	m u: n
漁	j y:
漂	pʰ i:u
漆	t sʰ ɐ t
漉	l ʊ k
漏	l ɐu
漓	l ei
演	j i: n
漚	ŋ ɐu
漚	ɐu
漠	m ɔ: k
漢	h ɔ: n
漫	m a: n
漬	t s i:
漬	t s ɪ k
漱	s ɐu
漱	s ou
漲	t s œ: ŋ
漸	t s i: m
漾	j œ: ŋ
漿	t s œ: ŋ
潑	pʰ u: t
潔	k i: t
潘	pʰ u: n
潛	t sʰ i: m
潤	j ɵ n
潭	tʰ a: m
潮	t sʰ i:u
潰	kʰ u:i
潲	s a:u
潲	s ɐu
潷	p ɐ t
潷	p ei
潺	s a: n
澀	s ɐ p
澀	s a: p
澀	k i: p
澄	t ɐ ŋ
澄	t sʰ ɪ ŋ
澍	s y:
澎	pʰ a: ŋ
澡	t sʰ ou
澡	t s ou
澤	t s a: k
澩	h ɔ: k
澱	t i: n
澳	ou
澳	j ʊ k
激	k ɪ k
濃	j ʊ ŋ
濃	n ʊ ŋ
濕	s ɐ p
濛	m ʊ ŋ
濟	t s ɐi
濠	h ou
濤	tʰ ou
濫	l a: m
濱	p ɐ n
濺	t s i: n
濾	l ɵy
瀉	s ɛ:
瀏	l ɐu
瀚	h ɔ: n
瀝	l ɪ k
瀟	s i:u
瀨	l a:i
瀾	l a: n
灌	k u: n
灑	s a:
灘	tʰ a: n
灣	w a: n
火	f ɔ:
灰	f u:i
灶	t s ou
灼	t s œ: k
灼	t sʰ œ: k
災	t s ɔ:i
炆	m ɐ n
炊	t sʰ ɵy
炎	j i: m
炒	t sʰ a:u
炕	kʰ ɔ: ŋ
炕	h ɔ: ŋ
炙	t s ɛ: k
炙	t s ɪ k
炭	tʰ a: n
炮	p a:u
炮	pʰ a:u
炳	p ɪ ŋ
炸	t s a:
為	w ɐi
烈	l i: t
烏	w u:
烘	h ʊ ŋ
烘	h ɔ: ŋ
烙	l ɔ: k
烚	s a: p
烚	h ɐ p
烟	j i: n
烤	h a:u
烹	pʰ a: ŋ
烽	f ʊ ŋ
焉	j i: n
焗	k ʊ k
焚	f ɐ n
無	m ou
焦	t s i:u
然	j i: n
煉	l i: n
煎	t s i: n
煖	n y: n
煖	h y: n
煙	j i: n
煞	s a: t
煤	m u:i
照	t s i:u
煨	w u:i
煩	f a: n
煮	t s y:
煲	p ou
煽	s i: n
熄	s ɪ k
熊	h ʊ ŋ
熒	j ɪ ŋ
熔	j ʊ ŋ
熙	h ei
熟	s ʊ k
熨	tʰ ɔ: ŋ
熨	w ɐi
熨	w ɐ n
熨	w ɐ t
熬	ŋ ou
熱	j i: t
熾	t sʰ i:
燃	j i: n
燈	t ɐ ŋ
燉	t ɵ n
